Bauteil,Anzeige,xDrip classic,xDrip classic mit Spannungsteiler,xBridge
HM17,,,,
HM11,Klärung nötig,,,
HM10,grün Dauerleuchten,Regelbetrieb,Regelbetrieb,
HM10,grün blinkend,keine BT-Verbindung zum Handy,keine BT-Verbindung zum Handy,keine BT-Verbindung zum Handy
HM10,"grün aus, aber alle 5 Minuten kurzes Blinken, dann ca. 30 Sek. an",,,Regelbetrieb
Wixel,orange Dauerblinken,keine Verbindung zum Transmitter,keine Verbindung zum Transmitter,
Wixel,orange Dauerleuchten,,,keine Verbindung zum Transmitter
Wixel,orange alle 5 Minuten blinkend,Regelbetrieb,Regelbetrieb,
Wixel,orange alle 5 Minuten ca. 30 Sek. Dauerleuchten,,,Regelbetrieb
Wixel,ab und zu orange und rot gleichzeitig,?,?,Regelbetrieb
App Statusanzeige,"""not connected"" dauerhaft",keine Verbindung zum BT-Modul,keine Verbindung zum BT-Modul,keine Verbindung zum BT-Modul
App Statusanzeige,"""not connected"", aber alle 5 Minuten für ca. 30 Sek ""connected""",,,Regelbetrieb (!)
App Statusanzeige,"""connected"" dauerhaft",Regelbetrieb,Regelbetrieb,
